,ID,Text,topic
10,ACCE004SRC002,"One person is dead and five are injured after a small plane crashed into two houses in Southern California Monday, according to the fire captain. 
The Federal Aviation Administration says the Cessna 310 aircraft crashed Monday evening shortly after taking off from Riverside Municipal Airport. 
FAA spokesman Ian Gregor says the plane was headed for San Jose when it crashed about a half-mile northeast of the Riverside airport. 
Riverside Police Lt. Charles Payne says the plane crashed into a residential neighborhood and collided with two homes. 
Video from a news helicopter showed plane wreckage and at least one home engulfed in flames near the intersection of Central and Streeter Avenue. The video also appeared to show a person being loaded onto a stretcher and removed from the home. 
Payne says residents in nearby homes were being evacuated and taken to a community center. 
",ACCIDENT
11,ACCE004SRC003,"At least one person is dead and five others injured after a small plane crashed into two homes in Riverside, California, according to officials. 
Riverside Fire Department Capt. Tyler Reynolds told ABC affiliate KABC-TV two victims were from the homes and four of the other victims were onboard the plane. 
The Federal Aviation Administration said the Cessna 310 crashed under unknown circumstances about a half-mile northeast of Riverside Municipal Airport. The plane was headed to San Jose from Riverside, according to the FAA. 
Officials are now investigating the crash and using thermal imaging to look for additional victims. 
Shannon Flores, a teacher at a nearby school in Riverside, told KABC-TV she and her students saw the plane from their building. 
âIt was just flying very, very low,â she said. âWe knew it shouldnât have been flying that low and that it was definitely going down.â 


",ACCIDENT
12,ACCE005SRC001," 
An Anti-Terrorism Squad team reached Bihar on Wednesday to gather information on the recent train accident in Kanpur, in which Pakistan's Inter-Services Intelligence is suspected to have played a role. 
The Bihar police on Tuesday claimed to have unearthed a suspected ISI link in the train accident after arrest of three persons in East Champaran district of the state. Police claimed the trio had confessed to having worked for a Nepalese contact suspected to have links with the ISI. 
According to reports, Umashankar Patel, Motilal Paswan and Mukesh Yadav were arrested from Motihari on the Indo-Nepal border. 
During interrogation, police claimed they confessed to having been paid Rs three lakh by a Nepali citizen identified as Brajesh Giri allegedly connected with the ISI for planting a bomb on railway tracks at Ghorasahan in East Champaran district. The bomb was, however, detected and later defused. 
Fifteen coaches of the Ajmer-Sealdah Express derailed near Rura, around 70 kilometres from Kanpur, on December 28. Though there were no deaths, 44 persons were injured in the accident. 
At least 151 were killed when the Indore-Patna Express derailed near Kanpur on November 21 last year. 

",ACCIDENT
13,ACCE005SRC002," Two major train accidents near Kanpur which resulted in deaths of 151 passengers and injuries to 200 others, were carried out on the instructions of Pakistan's external spy agency ISI , according to the Bihar police . 

The ISI hand was exposed following the arrest of three criminals Umashankar Patel, Motilal Paswan and Mukesh Yadav from Motihari on the Indo-Nepal border who were working at the instance of an ISI agent, a Nepalese citizen based in Dubai. 

""These criminals were arrested for their involvement in placing a cooker bomb on the railway track near Ghorasahan in the district on October 1 last year. They have confessed to having worked for an ISI agent,"" district SP Jitender Rana told TOI over phone, adding one of them confessed to his involvement in planting explosives to derail the Indore-Patna Express and Ajmer-Sealdah Express trains near Kanpur last year. 

The disclosure marks a new dimension of the subversion carried out by ISI, and has exposed the vulnerability of railways to terrorists. With the case throwing up clear external linkages with conspirators based in Nepal, Pakistan and UAE, the NIA is closely following the investigation by the Bihar police. 

""Our team of investigators are in touch with the local police and will examine the disclosures made by the arrested accused. If our preliminary conclusions vet the ISI-link theory, there is a possibility of NIA taking over the investigation,"" said an NIA official. 

Those involved in the plot could have killed many more if they had succeeded in derailing a passenger train by setting off an explosion on a rail track. Also, a major train accident was foiled on January 1 by the railway patrolling staff, who detected that 50 elastic rail clips and three pairs of fishplates were removed and deliberate damage caused by a hacksaw on the track between Kalyanpur and Mandhana stations in the Farrukhabad-Kanpur Anwarganj section. 

Railways has already asked CBI to inquire into the incident which happened a day before Prime Minister Narendra Modi was scheduled to address a political rally in Lucknow. 

""Fortunately, the bomb at Ghorasahan was detected with the help of villagers and defused,"" Rana said about the attempt by the trio to cause an accident in East Champaran district of Bihar on October 1 last year. 

Passengers of the Indore-Patna Express were not so lucky. At least 151 were killed when the train flew off the track on November 21 last year + . Just over a month later, more than 50 people were injured when Ajmer-Sealdah Express derailed + , again near Kanpur, on December 28. 

Rana said the trio had received around Rs 3 lakh till now from Brij Kishore Giri for engineering train accidents. Brij is a Nepali citizen. He along with Shambhu Giri and Mujahir Ansari was arrested by Nepal police recently. ""The Nepal police have shared vital information with us regarding their ISI links,"" Rana said, adding that the state ATS (anti-terrorism squad) and other security agencies have been informed about their confession. RPF is also in touch with the Bihar police and is coordinating efforts to reach the bottom of the conspiracy. 

Rana said Motilal was earlier a Maoist operating in Adapur block of East Champaran district. ""Umashankar has at least four criminals cases against him while 12 cases are lodged against Motilal and Mukesh,"" the SP said, adding investigations were on to gather information on the main handler of the gang. 

Police officials are verifying if Motilal was the area commander of an extremist group, an assumption which if proved correct, will suggest that concerns over ISI enlisting local disaffected groups may have come true. 

Sources said Motilal told police he had planted explosives on the tracks near Kanpur for derailing the two trains. ""Brij had received funds from Dubai for the purpose. Brij had promised flats, vehicles and finances to produce a Bhojpuri movie to the trio arrested from Motihari,"" said a police officer involved in the interrogation. 

Police have now launched a manhunt for two others, identified as Gajendra Sharma and Rakesh Yadav, who are said to be hiding in East Champaran, the sources said. 

Incidentally, Indian Mujahideen chief Yasin Bhatkal was arrested from Raxaul + in East Champaran district in August 2013.
",ACCIDENT
14,ACCE005SRC003,"
 The train derailment in Kanpur on November 21, in which 150 passengers were killed, might have been planned and funded by anti-India elements based in Dubai, according to a sensational disclosure by police in Biharâs East Champaran district on Tuesday. 
The arrest of three criminals linked to the planting of a bomb on the rail tracks in Biharâs Raxaul district on October 1 has allowed police in East Champaran district a glimpse into a network of anti-India elements with likely links with Pakistanâs ISI paying money to criminals in India to carry out blasts and sabotage action on rail tracks in the country. 
âThe recovery of an improvised explosive device on on Raxaul-Sitamarhi route near Ghorasahan railway station on October 1, which disrupted train services for more than 12 hours, was funded by a Dubai-based trader from Nepal named Shamshul Hoda,â said East Champaran SP Jitendra Rana. âThere is a possibility that the derailment of Indore-Patna Express and the Shealdah-Ajmer Express were also carried out by these people. Efforts are on to find out more details from the ongoing interrogation,â he added. 
Moti Paswan, a criminal who is the main accused in the Ghorasahan case, and two others who were arrested have reportedly confessed to police that they were paid a âbig amountâ by Hoda to carry out blasts on rail tracks in north India. Police stumbled on the racket while investigating the murder of two Raxaul residents in Nepal. 
âThree people arrested in Nepal â Brijkishore Giri, Muzahid Ansari and Shambhu â and two other men were active in this group. Giri, the kingpin, had paid money to these people to carry out blasts on rail tracks near Ghorasahan. Umashankar Patel, Mukesh Yadav and Moti Paswan, who have been arrested, had received the money and given the bomb planting task to two other men,â said Rana. 
After police detected and recovered the powerful IED and averted a major accident, the two men were punished for their failure. âThey were taken to Nepal and brutally killed in a jungle there. Investigation into these two murders unravelled the sinister network,â said Rana. 
Police are taking help of ATS and intelligence agencies to explore the entire extent of this network. âThe involvement of some agencies from across the border has been detected. Further probe will expose the exact role of these agencies and the likelihood that they were behind the Kanpur derailment,â said Rana. 
",ACCIDENT
15,ACCE006SRC001,"
Following heavy rains that triggered landslides at several places, the 300-km long Jammu-Srinagar national highway â the only all-weather surface link that connects Kashmir with the outside world â was closed on Monday. 
âThe Srinagar-Jammu National Highway was closed for traffic on Monday as landslides occurred at several places along the highway on Sunday night. Landslides occurred at Seri, Karol, Mehar, Panthial, Banihal and Digdol in Ramban district at around 9.30 pm on Sunday. As a result, traffic movement came to an abrupt halt,â said a police officer. 
Though around 2 pm on Monday, Border Roads Organisation (BRO) and other agencies cleared the landslides, restoring the highway for one-way traffic, traffic police did not allow any movement from Srinagar or Jammu, he added. 
Men and machinery have been pressed into service to clear the highway of debris and muck left behind by landslides. Overnight rains stopped for a couple of hours on Monday but started again around 3 pm, the officer said. 
A beeline of trucks ferrying essential commodities to Kashmir were halted near Nagrota in Jammu. 
A spokesman of the meteorological department (MeT) said most parts of the Valley, including summer capital Srinagar, received rains overnight. Owing to the overcast conditions, night temperature across the Valley, except Gulmarg, remained above freezing point. 
The spokesperson said there was possibility of light rainfall or snow, especially in the higher reaches of Kashmir, in the coming days after which the weather is likely to remain dry. 
âIntending travellers should not undertake the journey before contacting our control rooms in Jammu and Srinagar to know the latest status of the highway,â the spokesperson added. 
The 300 km-long highway gets closed due to heavy rains or snowfall, causing disruption of essential supplies to the landlocked Kashmir valley. 
Closure of the highway also results in sky-rocketing of air travel fares between the valley and other parts of the country. 
An aerial journey of barely 30 minutes between Srinagar and Jammu costs about â¹14,000 when the highway is closed.",ACCIDENT
16,ACCE006SRC002," 
The Jammu-Srinagar national highway was on Monday closed for traffic due to multiple landslides in Ramban district in the Jammu region. 
According to a traffic department official, the highway has been closed as heavy rains during the night triggered landslides at some places in the district. 
Landslide clearance operations have started in the district. 
âIntending travellers should not undertake the journey before contacting our control rooms in Jammu and Srinagar to know the latest status of the highway.â 
The dicey 300-km long highway gets closed due to heavy rains or snowfall, causing disruption of essential supplies to the landlocked Kashmir Valley. All essentials to the valley are routed through this highway. 
Closure of the highway also results in sky-rocketing of air travel fares between the valley and other parts of the country. 
An aerial journey of barely 30 minutes between Srinagar and Jammu costs about Rs 14,000 during the closure of the highway. tags ",ACCIDENT
17,ACCE006SRC003," The Srinagar-Jammu National Highway was closed for traffic today as landslides occurred at several places along the road link following rains. 
An official of the Traffic Control Room said one-way traffic from Jammu to Srinagar was scheduled to ply on the highway today, but the vehicles have been halted near Nagrota in Jammu region due to landslides. The official said men and machinery have been pressed into service to clear-off the muck left behind by the landslides and the road is expected to be re-opened for traffic later this afternoon. 
Landslides occurred at some places along the nearly 300-km long highway, the only all-weather road link connecting Kashmir with the rest of the country, due to overnight rains. 
A spokesman of the Meteorological Department here said most parts of the Valley, including summer capital Srinagar, received rains overnight. 
Owing to the overcast conditions, the night temperature across the Valley, except Gulmarg, remained above the freezing point. 
Srinagar recorded the minimum temperature of 5.8 degrees Celsius- up from 4.7 degrees Celsius the previous night, the spokesman said. 
He said Qazigund, the gateway town to Kashmir along Srinagar-Jammu National Highway, registered a low of 4.2 degrees Celsius, while the nearby Kokernag town recorded a low of 3.7 degrees Celsius. 
He said Kupwara town of north Kashmir registered a minimum of 2.7 degrees Celsius, same as that of the previous night. 
The night temperature recorded at the famous hill resort of Pahalgam in south Kashmir was 0.8 degrees Celsius, the spokesman said, adding the famous ski resort of Gulmarg in north Kashmir was the only place in the Valley where the night temperature was below the freezing point at minus 1.4 degrees Celsius. 
Leh in frontier region of Ladakh was the coldest recorded place in Jammu and Kashmir at minus 3 degrees Celsius, the spokesman said. 
He said the town had recorded a low of 0.3 degrees Celsius yesterday which was above the freezing point for the first time this winter. 
The spokesman said there is possibility of light rainfall or snow, especially in the higher reaches of Kashmir, over two days from today, after which the weather is likely to remain dry. 
",ACCIDENT
18,ACCE007SRC001,"
The plane came down in a residential area near Kyrgyzstan's Manas airport, according to the Kyrgyz government. 
The body of one pilot has been recovered while 15 local people were killed when the Boeing 747 crash impacted on their homes, the healthcare ministry has claimed. 
The plane had been travelling from the Turkish city of Hong Kong to Bishkek, the Kyrgyz capital. 
Members of the Kyrgyzstan government, including Vice prime minister Mukhammetkaliy Abulgaziev, are at the scene, according to reports. 

",ACCIDENT
19,ACCE007SRC002,"A cargo plane that departed from Hong Kong International Airport has crashed near the capital of Kyrgyzstan, killing 16 people, according to the countryâs emergency ministry.
A plane said to belong to a Turkish company crashed during landing near Bishkek, Kyrgyzstan, Russian news agency Sputnik and Xinhua news agency reported, citing government sources.
Bad weather conditions contributed to the accident, reports said.
Weather in Bishkek was minus 11 degrees Celsius and foggy.

",ACCIDENT
20,ACCE007SRC003,"Turkish cargo plane Boeing 747 flight 6491 has crashed in Chui region, Kyrgyzstan on January 16 morning, the Ministry of Emergencies confirmed to AKIpress. 
The plane crashed 7:31 am Bishkek time (GMT+6) in the village of Dacha-Suu, Sokuluk district flying from Hong Kong. 
As of 9 AM, at least 15 local people were killed, deputy chief doctor of the Bishkek ambulance station Yegor Borisov confirmed to AKIpress. 9 of the victims are adults (including a pilot) and 6 are children, Borisov said. 
6 other people were injured, he said. 
Firefighters, policemen, doctors arrived at the scene. 
Deputy Prime Muhametkalyi Abulgaziyev, Minister of Emergencies Kubatbek Boronov, Minister of Transport Jamshitbek Kalilov are heading to the scene.  
",ACCIDENT
21,ACCE008SRC001,"
Five Gangasagar pilgrims, including a woman, died in a stampede at a jetty at Kachuberia in West Bengalâs South 24 Parganas district on Sunday. 
District officials said two pilgrims died on the spot and three, including the woman, in the hospital. 
The stampede occurred at around 6 p.m. when there was a huge rush of pilgrims to board vessels to reach Kolkata, the officials said, adding that all of them were middle-aged and are yet to be identified. 
A search operation has been launched by naval divers to find out for people who might have fallen into the Buriganga River during the stampede, they added. 
A total 16 lakh pilgrims took their holy dip in two days on the occasion of Makar Sankranti at the Gangasagar Mela, West Bengal Public Health Engineering and Rural Development Minister Subrata Mukherjee said.
",ACCIDENT
22,ACCE008SRC002," At least six pilgrims were killed and 10 injured in a stampede on Sunday afternoon at the Kachuberia jetty in Sagar Island, South 24-Parganas, while trying to board a vessel back to Kolkata from the Gangasagar fair . 

All six victims, two of them women, were aged between 60 and 75, police said. None was from Bengal. 

The stampede occurred at jetty No. 5 at Kachuberia ghat, where thousands of pilgrims had been waiting since 10am to board vessels to cross the Muriganga river to Kakdwip, some 85km from Kolkata. However, South 24-Parganas district magistrate P B Saleem said the pilgrims had fallen ill because of the cold and eventually died at the hospital. 

""According to information I have, there was no major stampede. Two women had died on Saturday night from cardiac arrest and because of the extreme cold, four others died on Sunday afternoon,"" he said. 

But his account is at variance with what sources told TOI , according to whom the stampede occurred around 3.30pm when the pilgrims broke a barricade in their mad rush to get into the vessel. 

Bankim Hajra, the MLA from Sagar Island, said the vessels could not start from Kachuberia because of low tide between 10am till 3pm. When they were about to start, people standing in queue rushed to get on to the vessel, causing the crush. ""As a result, some of the barricades broke. Some devotees who fell into the water were rescued,"" Hajra said. 

The injured were taken to a hospital in Sagar Island, where six of them were declared dead. The rest were being treated till late on Sunday. Most of the victims died of suffocation, doctors at the hospital said.
",ACCIDENT
23,ACCE008SRC003,"
In a tragic incident, five Gangasagar pilgrims died in stampede in Kochuberia jetty in West Bengal. Gangasagar fair stampede: Stampede happened on jetty number 5 of Kachuberia area (South24 Parganas) while people were getting on the boat.
At least 16 lakh pilgrims took the holy dip at Gangasagar on the occasion of Makar Sankranti on Saturday and offered puja at the Kapil Muni temple, West Bengal Panchayat and Rural Development Minister Subrata Mukherjee said. 
A drone and 20 vessels, including several from the Coast Guard, were being used for surveillance. The theme of Ganga Sagar mela being 'Green and Clean' this year, the administration made arrangements for 10,000 toilets so that people could use it. 

",ACCIDENT
